Dataset,Fold,Model,Versao,MSE,MAE
abalone,4,NNET,Original,10.82626275948681,2.4968795554721317
abalone,4,NNET,RO,17.642649722223645,3.2039554516097333
abalone,4,NNET,Hardness-RO,13.20707599722044,2.644456593817933
abalone,4,XGB,Original,6.446140766143799,1.8089317083358765
abalone,4,XGB,RO,7.800086498260498,2.07696533203125
abalone,4,XGB,Hardness-RO,7.921799182891846,2.025830030441284
abalone,4,RF,Original,5.902061796407186,1.6957365269461078
abalone,4,RF,RO,6.7949176047904185,1.975185628742515
abalone,4,RF,Hardness-RO,7.148261676646706,1.870239520958084
abalone,4,BAGGING,Original,6.458215568862276,1.7852694610778443
abalone,4,BAGGING,RO,7.955508982035927,2.1196407185628745
abalone,4,BAGGING,Hardness-RO,7.656419161676648,1.9431137724550898
abalone,5,SVR,Original,6.5371553124831525,1.7808229065207004
abalone,5,SVR,RO,10.191039739092552,2.608502375079918
abalone,5,SVR,Hardness-RO,7.2653417716092,1.9697635504049638
abalone,5,NNET,Original,8.159344102468424,2.176221811611287
abalone,5,NNET,RO,11.687313251648508,2.6313669382702636
abalone,5,NNET,Hardness-RO,10.899938359697167,2.4599268893640596
abalone,5,XGB,Original,4.989918231964111,1.637303352355957
abalone,5,XGB,RO,6.572963237762451,1.984406590461731
abalone,5,XGB,Hardness-RO,5.535281181335449,1.760535717010498
abalone,5,RF,Original,4.469524910179642,1.5595808383233534
abalone,5,RF,RO,6.305622994011976,2.001508982035928
abalone,5,RF,Hardness-RO,5.421226107784431,1.7146107784431135
abalone,5,BAGGING,Original,4.828790419161677,1.6172455089820357
abalone,5,BAGGING,RO,7.35459880239521,2.1361676646706584
abalone,5,BAGGING,Hardness-RO,5.8654011976047915,1.7855089820359282
acceleration,1,SVR,Original,8.372321049350688,2.0725949443821503
acceleration,1,SVR,RO,19.687416701326097,3.8012312937326316
acceleration,1,SVR,Hardness-RO,8.221705554308453,2.1116192278937196
acceleration,1,NNET,Original,1089.0283544794133,9.80701950433356
acceleration,1,NNET,RO,1346.1613619635682,16.075535095618392
acceleration,1,NNET,Hardness-RO,780.3007287265938,9.791252435696348
acceleration,1,XGB,Original,0.47769300664655,0.46980180822806683
acceleration,1,XGB,RO,0.778245799825988,0.6020380209777128
acceleration,1,XGB,Hardness-RO,0.8037289042731331,0.6228258303331711
acceleration,1,RF,Original,0.6463785667829415,0.5754036263208457
acceleration,1,RF,RO,0.8884193317212747,0.6599299533246437
acceleration,1,RF,Hardness-RO,0.8806416138674147,0.6614176179917503
acceleration,1,BAGGING,Original,0.7758114220300992,0.6179260326609028
acceleration,1,BAGGING,RO,0.9057940585762635,0.66522032891588
acceleration,1,BAGGING,Hardness-RO,0.9737452039985489,0.7042443178192278
acceleration,2,SVR,Original,8.05144177413021,2.0804220922838317
acceleration,2,SVR,RO,22.157583476316383,4.005678612549703
acceleration,2,SVR,Hardness-RO,7.752046938666904,2.1634222278824593
acceleration,2,NNET,Original,113.69885433529099,8.457937312555707
acceleration,2,NNET,RO,43.53591011727344,3.9120837108417037
acceleration,2,NNET,Hardness-RO,169.7405931047979,8.991959471651386
acceleration,2,XGB,Original,0.5169692763707187,0.4756945266503766
acceleration,2,XGB,RO,0.7364925688416873,0.5905379482236308
