Dataset,Fold,Model,Versao,MSE,MAE
acceleration,2,NNET,RO,87.96274422377712,7.920359079512023
acceleration,2,NNET,Hardness-RO,304.9122948450615,5.469758521327872
acceleration,2,XGB,Original,0.5169692763707187,0.4756945266503766
acceleration,2,XGB,RO,0.8041824340291017,0.6132494470228037
acceleration,2,XGB,Hardness-RO,0.9675462848694789,0.6506593970812709
acceleration,2,RF,Original,0.5766986337385723,0.5432167490050769
acceleration,2,RF,RO,0.9062972550213919,0.6742491413907026
acceleration,2,RF,Hardness-RO,0.7962934722707439,0.6461530252992073
acceleration,2,BAGGING,Original,0.670008533461415,0.5966666666666665
acceleration,2,BAGGING,RO,0.9962569153480969,0.6960791966461001
acceleration,2,BAGGING,Hardness-RO,0.8475600449933705,0.6715173848623073
acceleration,3,SVR,Original,6.988455828706311,2.041026360539775
acceleration,3,SVR,RO,23.474742113108192,4.20360662417584
acceleration,3,SVR,Hardness-RO,7.066128563102874,2.0791968776813143
acceleration,3,NNET,Original,115.28607597632349,6.577051805929178
acceleration,3,NNET,RO,230.92174657222046,8.744165031992628
acceleration,3,NNET,Hardness-RO,5036.577647487024,12.184641516026446
acceleration,3,XGB,Original,0.48093142927463156,0.4655574459561034
acceleration,3,XGB,RO,0.7325461091863056,0.5943095300928016
acceleration,3,XGB,Hardness-RO,0.5669311701733839,0.5321898045567418
acceleration,3,RF,Original,0.5452436298900128,0.52746297137352
acceleration,3,RF,RO,0.8625169457178087,0.6418610983581357
acceleration,3,RF,Hardness-RO,0.5864400412702662,0.567300693841472
acceleration,3,BAGGING,Original,0.6206601356775849,0.5549238921001927
acceleration,3,BAGGING,RO,1.118617749411681,0.6823157001277766
acceleration,3,BAGGING,Hardness-RO,0.6294721344687694,0.5901042500188962
acceleration,4,SVR,Original,9.475986103380409,2.002516072535503
acceleration,4,SVR,RO,25.444087573106753,4.379212395590975
acceleration,4,SVR,Hardness-RO,9.309849194348432,2.004635797678684
acceleration,4,NNET,Original,3068.9532259148373,8.300537157556846
acceleration,4,NNET,RO,2863.990209651932,10.001046502327434
acceleration,4,NNET,Hardness-RO,1875.8495596700932,8.085902577979358
acceleration,4,XGB,Original,0.7174969199272623,0.47639806697823417
acceleration,4,XGB,RO,0.7308077999683237,0.5980716658465435
acceleration,4,XGB,Hardness-RO,1.2332052896537458,0.6063921346829806
acceleration,4,RF,Original,0.8762786347149972,0.5530925337186902
acceleration,4,RF,RO,0.645457958202882,0.6039016043448687
acceleration,4,RF,Hardness-RO,1.1359041199349862,0.6289469584365539
acceleration,4,BAGGING,Original,0.9747679842646113,0.5942244701348749
acceleration,4,BAGGING,RO,0.6697065060729456,0.6148629606600683
acceleration,4,BAGGING,Hardness-RO,1.2657657113037892,0.6556599229287091
acceleration,5,SVR,Original,10.254424320904002,2.239348133491399
acceleration,5,SVR,RO,22.846277000777643,3.98518224483079
acceleration,5,SVR,Hardness-RO,9.783942088461139,2.179399313806687
acceleration,5,NNET,Original,152.0451313191136,5.07190423366816
acceleration,5,NNET,RO,221.1373082862419,6.732617689968167
acceleration,5,NNET,Hardness-RO,86.58692381174649,4.9311150601977145
acceleration,5,XGB,Original,0.6595672016468457,0.505378960047154
acceleration,5,XGB,RO,0.930329650268619,0.6517872294938634
acceleration,5,XGB,Hardness-RO,1.5289853290872073,0.6691691900264322
acceleration,5,RF,Original,0.6847396124269761,0.5577968414533443
acceleration,5,RF,RO,0.8966983256314439,0.6694900396162476
acceleration,5,RF,Hardness-RO,1.3907384920264416,0.6682980570985992
acceleration,5,BAGGING,Original,0.8251225083493897,0.6173709055876686
acceleration,5,BAGGING,RO,1.0148856994167226,0.7249271823697502
acceleration,5,BAGGING,Hardness-RO,1.445046291635293,0.6870136413443342
airfoild,1,SVR,Original,1279686769.0432072,15171.823051157571
airfoild,1,SVR,RO,1206738629.6123524,22361.820255558534
